,CustomerID,RepeatReturnFlag
0,c401d50e-37b7-45ea-801a-d71c13ea6387,1
4,19c8c37f-d1ab-488e-848c-c28ba9c5d80c,1
7,4ab7e104-e62d-4492-834a-4fc01e2ec836,1
10,8c94849c-dff0-44af-a3a8-bbfebd39db3c,0
12,9f8eb22c-dec1-4597-a443-6ff2f6521ab0,0
13,8751260d-4fce-4f34-91be-ded97f69ad18,0
14,9838710a-1971-4385-964f-df73ff3697cb,1
15,dbdfdb6f-639a-4956-b39f-900f4283b414,1
16,68ec0677-f282-4d1e-85da-1131ee9549ad,1
21,dffe8085-6ca1-49c5-a7f6-b0a067468e83,1
22,407e7e00-73cd-4386-823d-714f56a573d2,1
23,b2117a58-cb7c-4bad-af96-91687c160d61,1
28,74f00a78-c273-4c5b-8505-13d3bb916a3a,1
29,17cf1ba3-38b4-4389-b156-9e0f837b9a4d,1
32,b0783666-fc9e-48d9-8263-3ea624f14b25,0
34,e6ab894e-6bf3-41ba-9606-8e37a328b88c,1
39,99347e3f-69cf-4805-b386-5ac0033af0fb,1
46,fbcc7eb6-47a5-486e-b600-159605768cd5,1
48,354e9ce9-a9d7-48e1-ae29-2c458ac030e2,0
50,58dc412b-8b63-4d03-8565-f8d9f259d37c,1
58,5b963c65-aa97-43a8-b0c7-6f89cf72a727,1
63,031a7cea-4734-4841-8bbe-c4c81d32f4db,1
64,9de483af-7536-424f-abd4-4c9b19db2cfe,1
69,99db69e8-f40e-4aa3-9da2-a367fbbe867d,0
70,51931dc2-bb71-45d2-898a-97ab96258401,1
71,e99f5f01-0e34-4fde-a314-14dbf9c4917b,0
72,f2ba56f7-d35c-46c9-9692-f6a1dcb53838,1
73,cbab6f7d-d97d-46e1-a76c-050b052030b4,1
74,bb2f33df-2fdd-4d9f-8561-ce469c6881e1,1
84,205fd622-114e-465b-86a7-613ac7662389,0
85,62eeec70-c899-4fd0-acc7-caebf8b86b33,1
90,5e2af49a-5c33-4fa7-8450-4ca62bc20c8a,1
97,fcaaaa11-19a8-4ff2-93b5-bef25981a52d,0
99,e4974470-902a-4d30-b0e5-6805ef1c4009,1
100,bf88d914-1a1a-4956-83b8-810f1dc6baf6,1
105,565f38f5-12ea-435a-a887-bdf0bceef85a,1
107,b9127caf-d8f8-4108-a753-f4ccdcf1dbc9,0
108,f01d14ff-048e-4e65-9112-1e9f9fa4e9f4,0
112,6e19885b-807a-4a03-a255-3a88f18b7d8a,1
113,09cff0be-3fc8-42c4-a0eb-2033d7d3c42e,1
114,646b58ac-735a-4bf4-a34c-1baede44dc30,0
119,6fcf2ea5-b8ba-427b-a565-b4b3e0d7e4b7,1
123,7dc63697-615d-4706-985a-715a1381c216,1
124,8c97688c-438a-400e-b1e1-d556c9dc2d9f,1
125,f20e6e7c-a761-4abf-b850-aed94f77c8de,1
128,7729b207-db50-4559-b140-7ddb1a877935,1
133,d7f603d9-8c2e-4805-ae40-3447b135795e,1
139,6951b79c-5f71-44d6-ae1f-2f3598905024,1
140,0ba15346-8995-41b4-a69f-a94c52e05961,0
141,b696b42e-2eb8-4842-80a3-b019f1a72c84,1
144,b25558a2-d979-4605-8203-f2c413ea8b58,1
146,0455c987-4d7a-456f-b7c2-3c6b13f0443c,1
150,03ca492d-59a6-4cca-8d76-c31cb4013108,1
151,9dd4cbe7-c86f-4530-8960-f6f65151b102,0
154,1eccb8c3-e923-42ea-8e30-60662505f637,1
156,b523bffa-1bc4-4c2f-bbcc-a63de8cbe974,0
158,64539758-55f0-4a48-b074-9dbcf3048ba5,1
161,d752f439-49b5-489b-8847-d2c179da912f,1
164,56684e17-4706-4a0c-a4f3-f7829eacd26f,1
166,037bcf8d-f39f-4843-9032-32e8ec133080,1
172,b0e4bccb-fe8e-4bfb-8d45-bdd49ada5bdd,0
174,d012a94b-83b9-441e-af97-81b7cd2ebadc,1
175,631e3d48-31e1-4386-9cec-d0568a43337c,1
